id,name,current_price,total_volume,market_cap,last_updated
bitcoin,Bitcoin,63507.0,41262486106.0,1191491959877.0,2021-10-19T18:53:57.381Z
ethereum,Ethereum,3816.76,17139884347.0,450181354289.0,2021-10-19T18:54:00.539Z
binancecoin,Binance Coin,483.82,1845343271.0,81595700060.0,2021-10-19T18:54:15.073Z
tether,Tether,1.0,58560823087.0,70054069073.0,2021-10-19T18:50:34.705Z
cardano,Cardano,2.12,1431513875.0,68007997298.0,2021-10-19T18:54:43.585Z
ripple,XRP,1.09,3656099192.0,50956071288.0,2021-10-19T18:53:49.006Z
solana,Solana,156.01,1232137411.0,46924709468.0,2021-10-19T18:54:22.362Z
polkadot,Polkadot,41.42,1312018516.0,42648950221.0,2021-10-19T18:54:28.270Z
usd-coin,USD Coin,1.0,2700386033.0,32261029508.0,2021-10-19T18:53:55.252Z
dogecoin,Dogecoin,0.243982,1845060334.0,32180631573.0,2021-10-19T18:53:44.514Z
terra-luna,Terra,36.38,448614062.0,14520368946.0,2021-10-19T18:54:31.309Z
shiba-inu,Shiba Inu,2.821e-05,1865632026.0,14038008207.0,2021-10-19T18:54:41.201Z
wrapped-bitcoin,Wrapped Bitcoin,63419.0,408019173.0,13817769926.0,2021-10-19T18:54:15.135Z
uniswap,Uniswap,25.58,367648282.0,13307114082.0,2021-10-19T18:54:10.776Z
binance-usd,Binance USD,1.0,4423577864.0,13103231462.0,2021-10-19T18:54:15.792Z
litecoin,Litecoin,187.22,2293234291.0,12849127753.0,2021-10-19T18:53:12.454Z
avalanche-2,Avalanche,56.95,353688080.0,12602962473.0,2021-10-19T18:54:27.629Z
chainlink,Chainlink,25.72,657296769.0,11829227066.0,2021-10-19T18:53:39.684Z
bitcoin-cash,Bitcoin Cash,611.39,8062600269.0,11544333918.0,2021-10-19T18:53:48.057Z
algorand,Algorand,1.71,184729510.0,10558221938.0,2021-10-19T18:54:40.879Z
matic-network,Polygon,1.47,729442754.0,9904092024.0,2021-10-19T18:54:40.405Z
cosmos,Cosmos,33.99,671653573.0,9541146137.0,2021-10-19T18:54:42.710Z
stellar,Stellar,0.373211,529300685.0,9004850333.0,2021-10-19T18:54:35.188Z
vechain,VeChain,0.11698,328396091.0,7805982985.0,2021-10-19T18:54:33.148Z
internet-computer,Internet Computer,43.6,242240081.0,7561120076.0,2021-10-19T18:54:28.049Z
axie-infinity,Axie Infinity,121.91,288973867.0,7473803492.0,2021-10-19T18:54:29.132Z
filecoin,Filecoin,63.23,417609420.0,7265865612.0,2021-10-19T18:54:33.133Z
tron,TRON,0.100375,1265830464.0,7196988795.0,2021-10-19T18:54:37.591Z
dai,Dai,1.0,419099312.0,7002355841.0,2021-10-19T18:50:59.838Z
ethereum-classic,Ethereum Classic,52.58,2269321065.0,6858168359.0,2021-10-19T18:54:33.196Z
ftx-token,FTX Token,56.42,151656047.0,6791405971.0,2021-10-19T18:54:24.590Z
fantom,Fantom,2.41,737439570.0,6156715475.0,2021-10-19T18:54:41.539Z
compound-ether,cETH,76.32,1249835.0,6043463264.0,2021-10-19T18:54:27.930Z
