,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
0,bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,55711.0,1045481950870.0,1.0,1165338020647.0,35230526053.0,56237.0,54302.0,1378.04,2.53627,14125115800.0,1.36957,18840131.0,21000000.0,21000000.0,64805.0,-14.36243,2021-04-14T11:54:46.763Z,67.81,81743.39403,2013-07-06T00:00:00.000Z,,2021-10-10T20:13:56.580Z
1,ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,3541.14,416219229067.0,2.0,,16297804798.0,3605.6,3501.62,-21.413246028165,-0.60106,-6857875736.61676,-1.62095,117873853.624,,,4356.99,-18.94761,2021-05-12T14:41:48.623Z,0.432979,815516.03356,2015-10-20T00:00:00.000Z,"{'times': 84.06472456525033, 'currency': 'btc', 'percentage': 8406.472456525033}",2021-10-10T20:14:34.842Z
2,cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2.24,71692536441.0,3.0,100608895252.0,1156124742.0,2.28,2.22,-0.020327886568,-0.90064,-996355129.1811676,-1.37071,32066390668.4135,45000000000.0,45000000000.0,3.09,-27.69323,2021-09-02T06:00:10.474Z,0.01925275,11493.38854,2020-03-13T02:22:55.044Z,,2021-10-10T20:14:19.827Z
3,tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,69249830885.0,4.0,,60956314458.0,1.01,0.994325,0.00369653,0.37021,11647856.0,0.01682,69206570964.9911,69206570964.9911,,1.32,-24.24327,2018-07-24T00:00:00.000Z,0.572521,75.07371,2015-03-02T00:00:00.000Z,,2021-10-10T20:11:23.573Z
4,binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,416.51,64134785056.0,5.0,70775128750.0,1158255610.0,423.96,412.79,-0.408089086849,-0.09788,-806987138.6772842,-1.24263,154533651.9,170533651.9,170533651.9,686.31,-39.40209,2021-05-10T07:24:17.097Z,0.0398177,1044378.97008,2017-10-19T00:00:00.000Z,,2021-10-10T20:14:32.897Z
5,ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.17,54966704849.0,6.0,117435736643.0,5776041755.0,1.22,1.14,0.0164046,1.41876,306917332.0,0.5615,46805773456.0,100000000000.0,100000000000.0,3.4,-65.44432,2018-01-07T00:00:00.000Z,0.00268621,43618.05725,2014-05-22T00:00:00.000Z,,2021-10-10T20:13:19.234Z
6,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,153.98,46093445214.0,7.0,75184772709.0,1258415868.0,157.88,152.36,-1.030927119419,-0.66507,-688428020.5829926,-1.47157,299564226.725091,488630611.0,488630611.0,213.47,-27.88983,2021-09-09T02:24:33.650Z,0.500801,30636.99028,2020-05-11T19:35:23.449Z,,2021-10-10T20:14:07.032Z
7,polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,35.78,37133245185.0,8.0,,1566425722.0,37.42,35.37,-0.059097851013,-0.1649,-301552045.1878052,-0.80554,1039139597.87522,1120087582.90482,,49.35,-27.61181,2021-05-15T03:59:58.961Z,2.7,1224.3161,2020-08-20T05:48:11.359Z,,2021-10-10T20:14:03.585Z
8,usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,33192213124.0,9.0,,1665599500.0,1.01,0.997345,0.00623281,0.62493,219882138.0,0.66687,33147882721.535,33147882721.535,,1.17,-14.62584,2019-05-08T00:40:28.300Z,0.891848,12.25995,2021-05-19T13:14:05.611Z,,2021-10-10T20:14:37.571Z
9,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.241784,31838656063.0,10.0,,1044900455.0,0.248451,0.240251,-0.002962843364,-1.21057,-600888191.0152588,-1.85233,131637804278.599,,,0.731578,-66.93647,2021-05-08T05:08:23.458Z,8.69e-05,278237.30142,2015-05-06T00:00:00.000Z,,2021-10-10T20:14:10.962Z
