,id,name,current_price,market_cap,high_24h,last_updated
0,bitcoin,Bitcoin,55711.0,1045481950870.0,56237.0,2021-10-10T20:13:56.580Z
1,ethereum,Ethereum,3541.14,416219229067.0,3605.6,2021-10-10T20:14:34.842Z
2,cardano,Cardano,2.24,71692536441.0,2.28,2021-10-10T20:14:19.827Z
3,tether,Tether,1.0,69249830885.0,1.01,2021-10-10T20:11:23.573Z
4,binancecoin,Binance Coin,416.51,64134785056.0,423.96,2021-10-10T20:14:32.897Z
5,ripple,XRP,1.17,54966704849.0,1.22,2021-10-10T20:13:19.234Z
6,solana,Solana,153.98,46093445214.0,157.88,2021-10-10T20:14:07.032Z
7,polkadot,Polkadot,35.78,37133245185.0,37.42,2021-10-10T20:14:03.585Z
8,usd-coin,USD Coin,1.0,33192213124.0,1.01,2021-10-10T20:14:37.571Z
9,dogecoin,Dogecoin,0.241784,31838656063.0,0.248451,2021-10-10T20:14:10.962Z
10,terra-luna,Terra,41.19,16546463468.0,43.31,2021-10-10T20:14:34.246Z
11,shiba-inu,Shiba Inu,2.735e-05,13603009499.0,2.756e-05,2021-10-10T20:14:48.834Z
12,binance-usd,Binance USD,1.0,13198746921.0,1.01,2021-10-10T20:13:36.968Z
13,avalanche-2,Avalanche,59.13,13023192840.0,61.14,2021-10-10T20:14:13.800Z
14,uniswap,Uniswap,24.98,12985452404.0,25.97,2021-10-10T20:14:35.157Z
15,litecoin,Litecoin,178.95,12305129725.0,184.98,2021-10-10T20:13:57.423Z
16,chainlink,Chainlink,26.52,12159402133.0,27.63,2021-10-10T20:14:31.417Z
17,wrapped-bitcoin,Wrapped Bitcoin,55651.0,11592143909.0,56062.0,2021-10-10T20:14:08.074Z
18,bitcoin-cash,Bitcoin Cash,600.4,11301776258.0,622.34,2021-10-10T20:13:55.469Z
19,algorand,Algorand,1.83,11226091500.0,1.91,2021-10-10T20:14:16.943Z
20,cosmos,Cosmos,33.68,9499499082.0,35.4,2021-10-10T20:14:04.553Z
21,matic-network,Polygon,1.3,8704803607.0,1.36,2021-10-10T20:14:44.542Z
22,stellar,Stellar,0.347765,8303145022.0,0.358216,2021-10-10T20:14:22.722Z
23,filecoin,Filecoin,72.89,8095432496.0,76.71,2021-10-10T20:14:42.968Z
24,internet-computer,Internet Computer,46.56,7775929635.0,49.67,2021-10-10T20:14:46.131Z
25,vechain,VeChain,0.114901,7711281008.0,0.118977,2021-10-10T20:14:17.840Z
26,axie-infinity,Axie Infinity,123.97,7572087274.0,127.4,2021-10-10T20:14:52.140Z
27,tron,TRON,0.101141,7236294128.0,0.103893,2021-10-10T20:14:39.520Z
28,ethereum-classic,Ethereum Classic,54.73,7122274711.0,56.32,2021-10-10T20:13:56.514Z
29,theta-token,Theta Network,6.61,6605892105.0,6.98,2021-10-10T20:14:43.870Z
30,ftx-token,FTX Token,54.78,6577913095.0,56.24,2021-10-10T20:14:45.599Z
31,dai,Dai,1.0,6549570895.0,1.01,2021-10-10T20:11:20.096Z
32,tezos,Tezos,7.29,6277274213.0,8.05,2021-10-10T20:14:09.073Z
33,compound-ether,cETH,70.8,5604278347.0,77.52,2021-10-10T20:12:33.714Z
34,fantom,Fantom,2.14,5423607319.0,2.25,2021-10-10T20:14:09.197Z
35,hedera-hashgraph,Hedera,0.35741,5299013517.0,0.374048,2021-10-10T20:14:41.513Z
36,monero,Monero,278.87,5022426451.0,282.76,2021-10-10T20:14:29.003Z
37,elrond-erd-2,Elrond,248.92,4945938639.0,259.96,2021-10-10T20:14:38.991Z
38,crypto-com-chain,Crypto.com Coin,0.192174,4846078560.0,0.194396,2021-10-10T20:14:07.544Z
39,staked-ether,Lido Staked Ether,3500.34,4832482359.0,3576.58,2021-10-10T20:01:04.568Z
40,eos,EOS,4.77,4623678559.0,5.01,2021-10-10T20:14:28.749Z
41,okb,OKB,17.03,4512331258.0,17.83,2021-10-10T20:14:08.035Z
42,klay-token,Klaytn,1.78,4479744089.0,2.01,2021-10-10T20:14:40.202Z
43,pancakeswap-token,PancakeSwap,19.1,4404179475.0,19.76,2021-10-10T20:14:06.865Z
44,ecash,eCash,0.00022122,4172668323.0,0.00022443,2021-10-10T20:14:33.859Z
45,quant-network,Quant,304.76,4066316261.0,307.49,2021-10-10T20:14:38.719Z
46,aave,Aave,299.31,3949497078.0,308.8,2021-10-10T20:14:30.117Z
47,iota,IOTA,1.43,3942564319.0,1.52,2021-10-10T20:14:03.802Z
48,near,Near,7.6,3629822349.0,8.06,2021-10-10T20:14:48.728Z
49,bitcoin-cash-abc-2,Bitcoin Cash ABC,187.88,3530976861.0,196.47,2021-10-10T20:09:09.578Z
50,the-graph,The Graph,0.709464,3514551352.0,0.749183,2021-10-10T20:14:51.494Z
51,bitcoin-cash-sv,Bitcoin SV,179.27,3384444947.0,185.76,2021-10-10T20:14:21.612Z
52,neo,NEO,46.63,3290200409.0,48.3,2021-10-10T20:14:06.297Z
53,kusama,Kusama,346.49,3111307976.0,372.36,2021-10-10T20:14:22.470Z
54,compound-usd-coin,cUSDC,0.02232253,2791095655.0,0.02246176,2021-10-10T20:12:33.769Z
55,waves,Waves,27.5,2749501880.0,28.85,2021-10-10T20:14:29.074Z
56,terrausd,TerraUSD,1.0,2726746028.0,1.01,2021-10-10T20:14:51.760Z
57,cdai,cDAI,0.02174777,2694977265.0,0.02194204,2021-10-10T20:12:34.424Z
58,leo-token,LEO Token,2.8,2647292419.0,2.89,2021-10-10T20:14:42.957Z
59,bittorrent-2,BitTorrent,0.00397146,2614539666.0,0.00422861,2021-10-10T20:14:21.086Z
60,harmony,Harmony,0.242704,2596127937.0,0.255872,2021-10-10T20:14:08.260Z
61,olympus,Olympus,995.39,2505319103.0,995.25,2021-10-10T20:11:15.854Z
62,celsius-degree-token,Celsius Network,5.71,2414771186.0,5.83,2021-10-10T20:13:59.267Z
63,arweave,Arweave,60.49,2366437739.0,62.57,2021-10-10T20:14:15.153Z
64,amp-token,Amp,0.04872957,2341056306.0,0.05072,2021-10-10T20:14:41.885Z
65,maker,Maker,2565.32,2320316784.0,2698.15,2021-10-10T20:14:21.042Z
66,blockstack,Stacks,2.22,2313286396.0,2.42,2021-10-10T20:14:41.339Z
67,huobi-btc,Huobi BTC,55490.0,2214397912.0,55815.0,2021-10-10T20:07:55.618Z
