id,name,current_price,total_volume,market_cap,last_updated
bitcoin,Bitcoin,57397.0,41085607970.0,1081720727214.0,2021-10-13T23:36:46.699Z
ethereum,Ethereum,3596.99,18189885360.0,424299466759.0,2021-10-13T23:35:45.602Z
binancecoin,Binance Coin,467.96,4855306792.0,78818363468.0,2021-10-13T23:36:55.203Z
cardano,Cardano,2.19,1865581169.0,70160291501.0,2021-10-13T23:36:43.201Z
tether,Tether,1.0,69604768316.0,69649346289.0,2021-10-13T23:36:01.916Z
ripple,XRP,1.13,4775503862.0,53044434301.0,2021-10-13T23:35:52.850Z
solana,Solana,148.13,1994971842.0,44453384000.0,2021-10-13T23:36:50.104Z
polkadot,Polkadot,41.78,4649629030.0,43504722664.0,2021-10-13T23:36:50.097Z
usd-coin,USD Coin,1.0,3434887712.0,32891280265.0,2021-10-13T23:36:57.338Z
dogecoin,Dogecoin,0.23221,1251702317.0,30636740613.0,2021-10-13T23:36:25.736Z
terra-luna,Terra,36.66,910411467.0,14738044968.0,2021-10-13T23:36:17.316Z
shiba-inu,Shiba Inu,2.886e-05,2804013146.0,14344941305.0,2021-10-13T23:35:53.990Z
binance-usd,Binance USD,1.0,6134915405.0,13010330078.0,2021-10-13T23:36:28.414Z
uniswap,Uniswap,24.61,611074794.0,12808921775.0,2021-10-13T23:36:20.905Z
litecoin,Litecoin,177.72,2519349952.0,12276254842.0,2021-10-13T23:36:16.768Z
wrapped-bitcoin,Wrapped Bitcoin,57548.0,563065460.0,12139552457.0,2021-10-13T23:36:46.649Z
avalanche-2,Avalanche,54.99,614790445.0,12098304860.0,2021-10-13T23:36:49.112Z
chainlink,Chainlink,25.45,1038798728.0,11664904667.0,2021-10-13T23:36:30.356Z
algorand,Algorand,1.83,335456959.0,11245266041.0,2021-10-13T23:36:40.063Z
bitcoin-cash,Bitcoin Cash,591.89,7927728636.0,11175014507.0,2021-10-13T23:36:39.605Z
cosmos,Cosmos,34.61,816795664.0,9725119251.0,2021-10-13T23:36:46.473Z
stellar,Stellar,0.36555,1125355001.0,8721891286.0,2021-10-13T23:36:33.469Z
matic-network,Polygon,1.24,580636598.0,8320907361.0,2021-10-13T23:36:54.526Z
vechain,VeChain,0.115269,628581880.0,7703818403.0,2021-10-13T23:36:35.438Z
filecoin,Filecoin,68.08,1446434782.0,7640668690.0,2021-10-13T23:36:11.021Z
