id,name,current_price,total_volume,market_cap,last_updated
bitcoin,Bitcoin,57108.0,38903519922.0,1072985883178.0,2021-10-12T10:29:49.037Z
ethereum,Ethereum,3447.15,18281940405.0,405854434214.0,2021-10-12T10:29:11.847Z
tether,Tether,1.0,68206765982.0,69508476822.0,2021-10-12T10:27:35.467Z
cardano,Cardano,2.09,1945739329.0,67068872957.0,2021-10-12T10:30:24.684Z
binancecoin,Binance Coin,396.36,1396831771.0,66856562406.0,2021-10-12T10:30:18.675Z
ripple,XRP,1.08,4757741170.0,50473110559.0,2021-10-12T10:30:14.975Z
solana,Solana,141.52,1942039631.0,42446346814.0,2021-10-12T10:30:28.382Z
polkadot,Polkadot,32.59,1400409473.0,33870208939.0,2021-10-12T10:30:14.651Z
usd-coin,USD Coin,1.0,2440042122.0,33222906497.0,2021-10-12T10:30:02.244Z
dogecoin,Dogecoin,0.221516,1345758234.0,29281581105.0,2021-10-12T10:29:28.872Z
shiba-inu,Shiba Inu,2.959e-05,7000792638.0,14617906342.0,2021-10-12T10:30:31.476Z
terra-luna,Terra,36.34,920456571.0,14503467668.0,2021-10-12T10:29:55.008Z
binance-usd,Binance USD,1.0,5106521028.0,13100125554.0,2021-10-12T10:29:49.096Z
wrapped-bitcoin,Wrapped Bitcoin,57108.0,457082686.0,11987359921.0,2021-10-12T10:30:13.014Z
uniswap,Uniswap,22.6,258970924.0,11824938920.0,2021-10-12T10:29:49.989Z
litecoin,Litecoin,169.4,2793185117.0,11594904709.0,2021-10-12T10:30:22.212Z
avalanche-2,Avalanche,51.75,597438368.0,11379877744.0,2021-10-12T10:30:25.144Z
chainlink,Chainlink,23.86,910793741.0,10958209582.0,2021-10-12T10:30:05.295Z
bitcoin-cash,Bitcoin Cash,574.54,7614431446.0,10810172683.0,2021-10-12T10:29:52.361Z
algorand,Algorand,1.63,289638269.0,9996640103.0,2021-10-12T10:30:02.217Z
cosmos,Cosmos,30.3,501191226.0,8561963992.0,2021-10-12T10:30:21.318Z
matic-network,Polygon,1.17,569383731.0,7817219669.0,2021-10-12T10:29:31.564Z
stellar,Stellar,0.326201,669026474.0,7794949282.0,2021-10-12T10:30:25.016Z
filecoin,Filecoin,68.35,1151990890.0,7619292592.0,2021-10-12T10:29:59.624Z
axie-infinity,Axie Infinity,118.46,778077831.0,7277754561.0,2021-10-12T10:29:56.743Z
internet-computer,Internet Computer,41.3,338467232.0,7169041778.0,2021-10-12T10:30:26.388Z
vechain,VeChain,0.102013,421490232.0,6871115610.0,2021-10-12T10:30:17.206Z
ethereum-classic,Ethereum Classic,51.44,4293788235.0,6704672368.0,2021-10-12T10:29:27.022Z
tron,TRON,0.092435,1171019474.0,6638216332.0,2021-10-12T10:29:36.650Z
dai,Dai,1.0,435287927.0,6552036394.0,2021-10-12T10:27:19.493Z
ftx-token,FTX Token,52.25,202711412.0,6304700660.0,2021-10-12T10:29:49.019Z
