id,name,current_price,total_volume,market_cap,last_updated
bitcoin,Bitcoin,55493.0,39048577820.0,1050439219907.0,2021-10-12T20:00:03.096Z
ethereum,Ethereum,3476.78,20859577747.0,412183585616.0,2021-10-12T20:00:31.134Z
binancecoin,Binance Coin,434.79,2870514219.0,73430611184.0,2021-10-12T20:00:06.119Z
tether,Tether,0.998005,67307000109.0,69578831709.0,2021-10-12T20:01:27.647Z
cardano,Cardano,2.13,2337104441.0,68471833631.0,2021-10-12T20:00:32.744Z
ripple,XRP,1.09,5039964340.0,51458508432.0,2021-10-12T20:00:38.358Z
solana,Solana,150.18,2644181369.0,45271760351.0,2021-10-12T20:00:46.431Z
polkadot,Polkadot,34.16,1640221667.0,35592591258.0,2021-10-12T20:00:19.231Z
usd-coin,USD Coin,1.0,2856406438.0,33173725422.0,2021-10-12T20:00:25.655Z
dogecoin,Dogecoin,0.223525,1660522263.0,29658323779.0,2021-10-12T20:01:10.586Z
terra-luna,Terra,37.24,1194416514.0,15082955874.0,2021-10-12T20:00:49.430Z
shiba-inu,Shiba Inu,2.846e-05,5028544161.0,14225987250.0,2021-10-12T20:00:52.113Z
binance-usd,Binance USD,0.999199,5763727320.0,13151973479.0,2021-10-12T20:00:46.430Z
uniswap,Uniswap,22.99,270725288.0,12040420326.0,2021-10-12T20:01:16.612Z
avalanche-2,Avalanche,53.89,684939783.0,11929738028.0,2021-10-12T20:01:34.393Z
litecoin,Litecoin,171.28,2953982870.0,11832697215.0,2021-10-12T20:00:40.192Z
wrapped-bitcoin,Wrapped Bitcoin,55682.0,520778999.0,11734786856.0,2021-10-12T20:01:33.968Z
chainlink,Chainlink,24.47,1054285119.0,11287484046.0,2021-10-12T20:00:58.091Z
bitcoin-cash,Bitcoin Cash,585.53,7930184821.0,11079811379.0,2021-10-12T20:00:04.400Z
algorand,Algorand,1.7,374942805.0,10516983564.0,2021-10-12T20:01:04.586Z
cosmos,Cosmos,32.98,815059623.0,9299589472.0,2021-10-12T20:00:22.602Z
matic-network,Polygon,1.21,676716638.0,8181695571.0,2021-10-12T20:00:37.653Z
stellar,Stellar,0.331529,627488225.0,7967266102.0,2021-10-12T20:01:18.783Z
filecoin,Filecoin,68.29,1020476914.0,7699890357.0,2021-10-12T20:01:16.289Z
axie-infinity,Axie Infinity,123.11,988286387.0,7541553587.0,2021-10-12T20:00:47.983Z
internet-computer,Internet Computer,42.49,381174165.0,7429211160.0,2021-10-12T20:01:22.873Z
vechain,VeChain,0.10635,477236649.0,7139255252.0,2021-10-12T20:01:29.542Z
ethereum-classic,Ethereum Classic,52.29,4533071476.0,6825388992.0,2021-10-12T20:00:08.558Z
tron,TRON,0.094351,1249922165.0,6791929733.0,2021-10-12T20:01:23.684Z
dai,Dai,1.0,490771307.0,6608173712.0,2021-10-12T19:55:33.100Z
ftx-token,FTX Token,52.13,240591761.0,6297647555.0,2021-10-12T20:01:03.829Z
tezos,Tezos,6.98,606565573.0,6058484261.0,2021-10-12T20:00:56.998Z
theta-token,Theta Network,5.85,287872720.0,5900189927.0,2021-10-12T20:00:22.557Z
compound-ether,cETH,69.98,3299778.0,5538059530.0,2021-10-12T20:00:25.772Z
fantom,Fantom,2.08,884152038.0,5319111687.0,2021-10-12T20:00:55.532Z
hedera-hashgraph,Hedera,0.341673,138971466.0,5098393457.0,2021-10-12T20:00:39.652Z
monero,Monero,276.31,251733295.0,5006797866.0,2021-10-12T20:01:18.086Z
staked-ether,Lido Staked Ether,3476.66,3707831.0,4827032877.0,2021-10-12T19:47:27.662Z
elrond-erd-2,Elrond,235.28,166034707.0,4703961751.0,2021-10-12T20:01:30.146Z
crypto-com-chain,Cryptocom Coin,0.179816,65240136.0,4562514690.0,2021-10-12T19:59:55.342Z
pancakeswap-token,PancakeSwap,19.05,296781312.0,4423031010.0,2021-10-12T20:00:28.561Z
eos,EOS,4.44,1324583431.0,4326435118.0,2021-10-12T20:00:13.122Z
okb,OKB,15.83,231254649.0,4211098224.0,2021-10-12T20:01:32.730Z
ecash,eCash,0.00022149,278348798.0,4180998300.0,2021-10-12T20:01:03.536Z
klay-token,Klaytn,1.58,70453913.0,4047193871.0,2021-10-12T20:01:36.337Z
bitcoin-cash-abc-2,Bitcoin Cash ABC,209.5,225531.0,3802861423.0,2021-10-12T19:58:42.572Z
iota,IOTA,1.33,178350447.0,3731974200.0,2021-10-12T20:01:33.269Z
quant-network,Quant,277.57,73659360.0,3728537958.0,2021-10-12T20:00:07.519Z
aave,Aave,280.96,241284948.0,3724796491.0,2021-10-12T20:00:29.284Z
near,Near,7.16,163296487.0,3435114609.0,2021-10-12T20:01:22.129Z
the-graph,The Graph,0.666076,84841087.0,3325906420.0,2021-10-12T20:01:05.794Z
bitcoin-cash-sv,Bitcoin SV,164.77,512542681.0,3128206822.0,2021-10-12T20:01:35.626Z
neo,NEO,43.45,294716199.0,3087108913.0,2021-10-12T20:00:30.155Z
waves,Waves,29.85,434176533.0,2995069192.0,2021-10-12T20:00:24.709Z
olympus,Olympus,1116.0,82061764.0,2919550142.0,2021-10-12T20:00:00.413Z
compound-usd-coin,cUSDC,0.02226341,71956527.0,2908815544.0,2021-10-12T20:00:39.750Z
kusama,Kusama,319.22,121548062.0,2893788532.0,2021-10-12T20:01:27.318Z
cdai,cDAI,0.02167128,90827116.0,2814790632.0,2021-10-12T20:00:34.848Z
terrausd,TerraUSD,0.9982,53663050.0,2727872848.0,2021-10-12T20:00:33.838Z
leo-token,LEO Token,2.77,505228.0,2619762409.0,2021-10-12T19:59:19.097Z
bittorrent-2,BitTorrent,0.00365389,297765438.0,2424353350.0,2021-10-12T20:00:27.420Z
harmony,Harmony,0.223285,259011383.0,2413279728.0,2021-10-12T20:00:20.690Z
celsius-degree-token,Celsius Network,5.63,11763067.0,2390222422.0,2021-10-12T20:00:59.679Z
arweave,Arweave,54.04,71114602.0,2366437739.0,2021-10-12T20:00:09.480Z
huobi-btc,Huobi BTC,55730.0,7513739.0,2223961983.0,2021-10-12T19:58:03.284Z
maker,Maker,2425.11,107761904.0,2196413980.0,2021-10-12T20:00:12.858Z
amp-token,Amp,0.04523449,33233094.0,2178280058.0,2021-10-12T20:01:11.655Z
blockstack,Stacks,2.03,235746343.0,2139716337.0,2021-10-12T20:01:01.733Z
omisego,OMG Network,14.78,1548343195.0,2084105740.0,2021-10-12T20:01:07.226Z
sushi,Sushi,9.9,227515831.0,1917114964.0,2021-10-12T20:00:00.970Z
thorchain,THORChain,7.17,50668652.0,1892490908.0,2021-10-12T19:59:16.447Z
helium,Helium,19.02,11100005.0,1885952257.0,2021-10-12T20:01:26.643Z
dash,Dash,178.01,401913484.0,1857184224.0,2021-10-12T20:00:19.211Z
compound-governance-token,Compound,301.3,124656081.0,1840362768.0,2021-10-12T20:00:12.348Z
celo,Celo,5.47,83942002.0,1801240257.0,2021-10-12T20:01:29.555Z
decred,Decred,124.32,14741470.0,1673883565.0,2021-10-12T20:01:19.737Z
ecomi,ECOMI,0.00752367,13773895.0,1636092358.0,2021-10-12T19:58:56.343Z
chiliz,Chiliz,0.3016,208965165.0,1619935841.0,2021-10-12T20:01:17.072Z
havven,Synthetix Network Token,9.13,87795533.0,1612384859.0,2021-10-12T20:01:12.599Z
holotoken,Holo,0.00892763,151059277.0,1595796921.0,2021-10-12T20:00:26.196Z
theta-fuel,Theta Fuel,0.291442,27998121.0,1588978078.0,2021-10-12T20:01:24.441Z
